表情（4）,表情（4）,Expression (4),表情（4）
全局随机种子,全局随机种子,Global Random Seed,全域隨機種子
⬅️X,⬅️X,⬅️X,⬅️X
方块云运动方向,方块云运动方向,Block Cloud Movement Direction,方塊雲運動方向
预览文本,预览文本,Preview Text,預覽文本
简单碰撞+准备材质,简单碰撞+准备材质,Simple Collision + Prepare Material,簡單碰撞+準備材質
跑步跟随,跑步跟随,Run Follow,跑步跟隨
Speed,速度,Speed,速度
整齐,整齐,Neat,整齊
物理Ⅲ,物理Ⅲ,Physics III,物理Ⅲ
Json缓存,Json缓存,Json Cache,Json緩存
导入视频,导入视频,Import Video,匯入影片
Cloud color,云颜色,Cloud Color,雲顏色
鼠标灵敏度,鼠标灵敏度,Mouse Sensitivity,滑鼠靈敏度
缓出模式,缓出模式,Ease Out Mode,緩出模式
时间流逝速度,时间流逝速度,Time Dilation Speed,時間流逝速度
对象->函数,对象->函数,Object->Function,物件->函式
命中,命中,Hit,命中
亮度映射曲线,亮度映射曲线,Brightness Mapping Curve,亮度映射曲線
◆批量切换动作,◆批量切换动作,◆Batch Switch Action,◆批量切換動作
插件面板,插件面板,Plugin Panel,插件面板
移动速度,移动速度,Movement Speed,移動速度
纹理尺寸XY/缩放XY,纹理尺寸XY/缩放XY,Texture Size XY/Scale XY,紋理尺寸XY/縮放XY
Body Modifier Data,身体修改器数据,Body Modifier Data,身體修改器資料
控制对象,控制对象,Control Object,控制物件
正面遮罩层,正面向罩层,Front Mask Layer,正面向罩層
使用Actor旋转,使用Actor旋转,Use Actor Rotation,使用Actor旋轉
LevelStyles,关卡样式,Level Styles,關卡樣式
自发光强度,自发光强度,Emissive Intensity,自發光強度
体积雾开始/结束/淡入距离,体积雾开始/结束/淡入距离,Volumetric Fog Start/End/Fade Distance,體積霧開始/結束/淡入距離
全选,全选,Select All,全選
TranslationLagSpeed,位移延迟速度,Translation Lag Speed,位移延遲速度
可以拖动,可以拖动,Can Drag,可以拖動
物理Ⅴ,物理Ⅴ,Physics V,物理Ⅴ
画质预设,画质预设,Graphics Preset,畫質預設
◆冲击,◆冲击,◆Impulse,◆衝擊
自定义键控动画,自定义键控动画,Custom Keyed Animation,自訂鍵控動畫
草方块使用泥土材质,草方块使用泥土材质,Grass Block Uses Dirt Material,草方塊使用泥土材質
目标摄像机,目标摄像机,Target Camera,目標攝影機
信号传播速度(m/s),信号传播速度(m/s),Signal Propagation Speed (m/s),訊號傳播速度(m/s)
↪用作可叠加遮罩,↪用作可叠加遮罩,↪Use as Overlay Mask,↪用作可疊加遮罩
➡️-X,➡️-X,➡️-X,➡️-X
日月投射光线追踪阴影,日月投射光线追踪阴影,Sun/Moon Ray Traced Shadows,日月投射光線追蹤陰影
ObstacleDepth,障碍深度,Obstacle Depth,障礙深度
作用于粒子系统-倍率,作用于粒子系统-倍率,Effect on Particle System-Multiplier,作用於粒子系統-倍率
漂浮,漂浮,Float,漂浮
触发python脚本,触发python脚本,Trigger Python Script,觸發python腳本
BlendOutCondition,混合淡出条件,Blend Out Condition,混合淡出條件
循环时长,循环时长,Loop Duration,循環時長
头部模型,头部模型,Head Model,頭部模型
速度-动画曲线,速度-动画曲线,Speed-Animation Curve,速度-動畫曲線
掉落物模型,掉落物模型,Drop Item Model,掉落物模型
指定纵轴分辨率,指定纵轴分辨率,Specify Vertical Resolution,指定縱軸解析度
弹性按压,弹性按压,Elastic Press,彈性按壓
Overall Color,整体颜色,Overall Color,整體顏色
刷新随机种子,刷新随机种子,Refresh Random Seed,刷新隨機種子
编辑器视口线条追踪,编辑器视口线条追踪,Editor Viewport Line Tracing,編輯器視埠線條追蹤
状态机动画,状态机动画,State Machine Animation,狀態機動畫
阻隔(渲染为透明),阻隔(渲染为透明),Blocking (Rendered as Transparent),阻隔(渲染為透明)
读取设置json,读取设置json,Read Settings json,讀取設置json
SprintSpeeds,冲刺速度,Sprint Speeds,衝刺速度
动画0,动画0,Animation 0,動畫0
默认(可递归),默认(可递归),Default (Recursive),預設(可遞歸)
HasBackLedge,有后边缘,Has Back Ledge,有後邊緣
雾密度,雾密度,Fog Density,霧密度
顶点动画数据集1,顶点动画数据集1,Vertex Animation Dataset 1,頂點動畫數據集1
清除,清除,Clear,清除
density2,密度2,Density2,密度2
动画3,动画3,Animation 3,動畫3
瘫痪生物,瘫痪生物,Paralyze Creature,癱瘓生物
最大遥控距离(m),最大遥控距离(m),Max Remote Distance (m),最大遙控距離(m)
播放动作时禁用移动输入,播放动作时禁用移动输入,Disable Movement Input During Action Playback,播放動作時停用移動輸入
FrontLedgeNormal,前边缘法线,Front Ledge Normal,前邊緣法線
捕获每帧,捕获每帧,Capture Every Frame,擷取每幀
PlateScale,面板缩放,Plate Scale,面板縮放
随机旋转,随机旋转,Random Rotation,隨機旋轉
StyleIndex,样式索引,Style Index,樣式索引
破碎程度,破碎程度,Destruction Level,破碎程度
绑定EV100可视性,绑定EV100可视性,Bind EV100 Visibility,綁定EV100可視性
运动时长,运动时长,Motion Duration,運動時長
SamplesPerSecond,采样每秒,Samples Per Second,採樣每秒
“折叠面板修改名称”,“折叠面板修改名称”,“Fold Panel Modify Name”,“摺疊面板修改名稱”
挑选权重,挑选权重,Pick Weight,挑選權重
清除材质实例参数,清除材质实例参数,Clear Material Instance Parameters,清除材質實例參數
物品栏缩放,物品栏缩放,Inventory Scaling,物品欄縮放
平滑更新速度,平滑更新速度,Smooth Update Speed,平滑更新速度
Color,颜色,Color,顏色
选中方块序号,选中方块序号,Selected Block Index,選中方塊序號
mob1,生物1,Mob1,生物1
循环,循环,Loop,循環
录制的摄像机晃动,录制的摄像机晃动,Recorded Camera Shake,錄製的攝影機晃動
旧_随机种子,旧_随机种子,Old_Random Seed,舊_隨機種子
◆破坏,◆破坏,◆Destroy,◆破壞
整体速度/强度/增量/缓动,整体速度/强度/增量/缓动,Overall Speed/Intensity/Increment/Ease,整體速度/強度/增量/緩動
模糊衰减变换XY,模糊衰减变换XY,Blur Falloff Transform XY,模糊衰減變換XY
位置XYZ强度,位置XYZ强度,Position XYZ Intensity,位置XYZ強度
禁止颜色,禁止颜色,Prohibited Color,禁止顏色
获取设置ini,获取设置ini,Get Settings ini,獲取設置ini
用tag过滤目标(可留空),用标签过滤目标(可留空),Filter Targets by Tag (Optional),用標籤過濾目標(可留空)
状态机速度->动画映射曲线,状态机速度->动画映射曲线,State Machine Speed->Animation Mapping Curve,狀態機速度->動畫映射曲線
摄像机后期优先级,摄像机后期优先级,Camera Post-Processing Priority,攝影機後製優先級
生物1,生物1,Creature 1,生物1
Randomize Button,随机化按钮,Randomize Button,隨機化按鈕
当前路标,当前路标,Current Waypoint,當前路標
NPC循环播放动作1,NPC循环播放动作1,NPC Loop Action 1,NPC循環播放動作1
附加粒子（模型/骨骼）,附加粒子（模型/骨骼）,Attach Particles (Model/Bone),附加粒子（模型/骨骼）
绑定父级,绑定父级,Bind Parent,綁定父級
◆生命周期轨道,◆生命周期轨道,◆Lifecycle Track,◆生命週期軌道
可以滚动,可以滚动,Can Scroll,可以滾動
ActionType,动作类型,Action Type,動作類型
摄像机移动/旋转延迟,摄像机移动/旋转延迟,Camera Movement/Rotation Delay,攝影機移
