Mineprep:0.5 | 时间戳1779623115.5028656,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,白桦木板,birch_planks,樺木板 (樺木材),,,,👤🟩,红石比较器,comparator,紅石比較器
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木压力板,birch_pressure_plate,樺木壓力板,,,,#,指南针 [00],compass_00,指南針 [00]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木压力板 [按下],birch_pressure_plate_down,樺木壓力板 [按下],,,,#,指南针 [01],compass_01,指南針 [01]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,白桦树苗,birch_sapling,樺木樹苗,,,,#,指南针 [02],compass_02,指南針 [02]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子,birch_shelf,白樺木架子,,,,#,指南针 [03],compass_03,指南針 [03]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [中间],birch_shelf_center,白樺木架子 [中間],,,,#,指南针 [04],compass_04,指南針 [04]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [物品栏],birch_shelf_inventory,白樺木架子 [物品欄],,,,#,指南针 [05],compass_05,指南針 [05]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [左],birch_shelf_left,白樺木架子 [左],,,,#,指南针 [06],compass_06,指南針 [06]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [右],birch_shelf_right,白樺木架子 [右],,,,#,指南针 [07],compass_07,指南針 [07]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [未连接],birch_shelf_unconnected,白樺木架子 [未連接],,,,#,指南针 [08],compass_08,指南針 [08]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木架子 [未充能],birch_shelf_unpowered,白樺木架子 [未充能],,,,#,指南针 [09],compass_09,指南針 [09]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木告示牌,birch_sign,樺木指示牌 (樺木告示牌),,,,#,指南针 [10],compass_10,指南針 [10]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木台阶,birch_slab,樺木半磚,,,,#,指南针 [11],compass_11,指南針 [11]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木台阶 [顶部],birch_slab_top,樺木半磚 [頂部],,,,#,指南针 [12],compass_12,指南針 [12]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木楼梯,birch_stairs,樺木樓梯 (樺木階梯),,,,#,指南针 [13],compass_13,指南針 [13]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木楼梯 [内角],birch_stairs_inner,樺木樓梯 (樺木階梯) [內角],,,,#,指南针 [14],compass_14,指南針 [14]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木楼梯 [外角],birch_stairs_outer,樺木樓梯 (樺木階梯) [外角],,,,#,指南针 [15],compass_15,指南針 [15]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木活板门 [底部],birch_trapdoor_bottom,樺木地板門 [底部],,,,#,指南针 [16],compass_16,指南針 [16]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木活板门 [打开],birch_trapdoor_open,樺木地板門 [打開],,,,#,指南针 [17],compass_17,指南針 [17]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,白桦木活板门 [顶部],birch_trapdoor_top,樺木地板門 [頂部],,,,#,指南针 [18],compass_18,指南針 [18]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,白桦木,birch_wood,樺木 (樺木塊),,,,#,指南针 [19],compass_19,指南針 [19]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,黑石,blackstone,黑石,,,,#,指南针 [20],compass_20,指南針 [20]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石台阶,blackstone_slab,黑石半磚,,,,#,指南针 [21],compass_21,指南針 [21]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石台阶 [顶部],blackstone_slab_top,黑石半磚 [頂部],,,,#,指南针 [22],compass_22,指南針 [22]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石楼梯,blackstone_stairs,黑石樓梯 (黑石階梯),,,,#,指南针 [23],compass_23,指南針 [23]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石楼梯 [内角],blackstone_stairs_inner,黑石樓梯 (黑石階梯) [內角],,,,#,指南针 [24],compass_24,指南針 [24]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石楼梯 [外角],blackstone_stairs_outer,黑石樓梯 (黑石階梯) [外角],,,,#,指南针 [25],compass_25,指南針 [25]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石 [墙上物品栏],blackstone_wall_inventory,黑石 [牆上物品欄],,,,#,指南针 [26],compass_26,指南針 [26]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石 [墙上柱],blackstone_wall_post,黑石 [牆上柱],,,,#,指南针 [27],compass_27,指南針 [27]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石 [墙上侧面],blackstone_wall_side,黑石 [牆上側面],,,,#,指南针 [28],compass_28,指南針 [28]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,黑石墙 [side_tall],blackstone_wall_side_tall,黑石牆 [side_tall],,,,#,指南针 [29],compass_29,指南針 [29]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上黑色蜡烛的蛋糕,black_candle_cake,插咗黑色蠟燭嘅蛋糕 (插上黑色蠟燭的蛋糕),,,,#,指南针 [30],compass_30,指南針 [30]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上黑色蜡烛的蛋糕 [点亮],black_candle_cake_lit,插咗黑色蠟燭嘅蛋糕 (插上黑色蠟燭的蛋糕) [點亮],,,,#,指南针 [31],compass_31,指南針 [31]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [four_candles],black_candle_four_candles,黑色蠟燭 [four_candles],,,,🟩,牛排,cooked_beef,牛扒 (牛排)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [点亮],black_candle_four_candles_lit,黑色蠟燭 [點亮],,,,🟩,熟鸡肉,cooked_chicken,熟雞肉 (烤雞)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [one_candle],black_candle_one_candle,黑色蠟燭 [one_candle],,,,🌊,熟鳕鱼,cooked_cod,熟鱈魚 (烤鱈魚)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [点亮],black_candle_one_candle_lit,黑色蠟燭 [點亮],,,,🟩,熟羊肉,cooked_mutton,熟羊肉 (烤羊肉)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [three_candles],black_candle_three_candles,黑色蠟燭 [three_candles],,,,🟩,熟猪排,cooked_porkchop,熟豬扒 (烤豬肉)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [点亮],black_candle_three_candles_lit,黑色蠟燭 [點亮],,,,🟩,熟兔肉,cooked_rabbit,熟兔肉 (烤兔肉)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [two_candles],black_candle_two_candles,黑色蠟燭 [two_candles],,,,🌊,熟鲑鱼,cooked_salmon,熟三文魚 (烤鮭魚)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,黑色蜡烛 [点亮],black_candle_two_candles_lit,黑色蠟燭 [點亮],,,,🟩,曲奇,cookie,曲奇 (餅乾)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色地毯,black_carpet,黑色地氈 (黑色地毯),,,,👤🟩,铜斧,copper_axe,銅斧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色混凝土,black_concrete,黑色混凝土,,,,👤🟩,铜靴子,copper_boots,銅靴子
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色混凝土粉末,black_concrete_powder,黑色混凝土粉末,,,,🟩,铜锁链,copper_chain,銅鎖鏈
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色带釉陶瓦,black_glazed_terracotta,黑色釉陶,,,,👤🟩,铜胸甲,copper_chestplate,銅胸甲
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,黑色潜影盒,black_shulker_box,黑色界伏盒,,,,👤🟩,铜门,copper_door,銅門
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃,black_stained_glass,黑色染色玻璃 (黑色玻璃),,,,🟩,铜傀儡刷怪蛋,copper_golem_spawn_egg,銅傀儡生怪蛋
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃板 [noside],black_stained_glass_pane_noside,黑色染色玻璃片 (黑色玻璃片) [noside],,,,👤🟩,铜头盔,copper_helmet,銅頭盔
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃板 [noside_alt],black_stained_glass_pane_noside_alt,黑色染色玻璃片 (黑色玻璃片) [noside_alt],,,,👤🟩,铜锄,copper_hoe,銅鋤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃板 [柱],black_stained_glass_pane_post,黑色染色玻璃片 (黑色玻璃片) [柱],,,,👤🟩,铜马铠,copper_horse_armor,銅馬鎧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃板 [侧面],black_stained_glass_pane_side,黑色染色玻璃片 (黑色玻璃片) [側面],,,,🟩,铜锭,copper_ingot,銅錠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色染色玻璃板 [side_alt],black_stained_glass_pane_side_alt,黑色染色玻璃片 (黑色玻璃片) [side_alt],,,,👤🟩💡,铜灯笼,copper_lantern,銅燈籠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色陶瓦,black_terracotta,黑色陶瓦 (黑色陶土),,,,👤🟩,铜护腿,copper_leggings,銅護腿
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黑色羊毛,black_wool,黑色羊毛,,,,🟩,铜粒,copper_nugget,銅粒
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,高炉,blast_furnace,高爐,,,,👤🟩,铜镐,copper_pickaxe,銅鎬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,高炉 [激活],blast_furnace_on,高爐 [激活],,,,👤🟩,铜锹,copper_shovel,銅鍬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,方块模板,block,方塊模板,,,,👤🟩,铜剑,copper_sword,銅劍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上蓝色蜡烛的蛋糕,blue_candle_cake,插咗藍色蠟燭嘅蛋糕 (插上藍色蠟燭的蛋糕),,,,🟩,牛刷怪蛋,cow_spawn_egg,牛 生成蛋 (牛 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上蓝色蜡烛的蛋糕 [点亮],blue_candle_cake_lit,插咗藍色蠟燭嘅蛋糕 (插上藍色蠟燭的蛋糕) [點亮],,,,🟩,嘎枝怪刷怪蛋,creaking_spawn_egg,嘎枝怪生怪蛋
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [four_candles],blue_candle_four_candles,藍色蠟燭 [four_candles],,,,👤,旗帜图案,creeper_banner_pattern,橫額圖案 (旗幟圖案)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [点亮],blue_candle_four_candles_lit,藍色蠟燭 [點亮],,,,🟩,苦力怕刷怪蛋,creeper_spawn_egg,Creeper 生成蛋 (苦力怕 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [one_candle],blue_candle_one_candle,藍色蠟燭 [one_candle],,,,👤🟥,绯红木门,crimson_door,猩紅菌木門 (緋紅蕈木門)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [点亮],blue_candle_one_candle_lit,藍色蠟燭 [點亮],,,,👤🟥,悬挂式绯红木告示牌,crimson_hanging_sign,猩紅菌木吊牌 (懸掛式緋紅蕈木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [three_candles],blue_candle_three_candles,藍色蠟燭 [three_candles],,,,👤🟥,绯红木告示牌,crimson_sign,猩紅菌木指示牌 (緋紅蕈木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [点亮],blue_candle_three_candles_lit,藍色蠟燭 [點亮],,,,👤🟩,弩 [装填箭],crossbow_arrow,弩 [裝填箭]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [two_candles],blue_candle_two_candles,藍色蠟燭 [two_candles],,,,👤🟩💡,弩 [装填烟火],crossbow_firework,弩 [裝填煙火]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,蓝色蜡烛 [点亮],blue_candle_two_candles_lit,藍色蠟燭 [點亮],,,,#,弩 [拉弦1],crossbow_pulling_0,弩 [拉弦1]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色地毯,blue_carpet,藍色地氈 (藍色地毯),,,,#,弩 [拉弦2],crossbow_pulling_1,弩 [拉弦2]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色混凝土,blue_concrete,藍色混凝土,,,,#,弩 [拉弦3],crossbow_pulling_2,弩 [拉弦3]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色混凝土粉末,blue_concrete_powder,藍色混凝土粉末,,,,#,弩 [待机],crossbow_standby,弩 [待機]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色带釉陶瓦,blue_glazed_terracotta,藍色釉陶,,,,👤,青色收纳袋,cyan_bundle,青色收納袋 (束口袋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,蓝冰,blue_ice,藍冰,,,,#,青色收纳袋 [打开背面],cyan_bundle_open_back,青色收納袋 (束口袋) [打開背面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,兰花,blue_orchid,蘭花 (藍色蝴蝶蘭),,,,#,青色收纳袋 [打开正面],cyan_bundle_open_front,青色收納袋 (束口袋) [打開正面]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,蓝色潜影盒,blue_shulker_box,藍色界伏盒,,,,👤💡,青色蜡烛,cyan_candle,青藍色蠟燭 (青色蠟燭)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃,blue_stained_glass,藍色染色玻璃 (藍色玻璃),,,,👤🟩,青色染料,cyan_dye,青藍色染料 (青色染料)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃板 [noside],blue_stained_glass_pane_noside,藍色染色玻璃片 (藍色玻璃片) [noside],,,,👤🟩,青色马铠,cyan_harness,青色馬鎧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃板 [noside_alt],blue_stained_glass_pane_noside_alt,藍色染色玻璃片 (藍色玻璃片) [noside_alt],,,,🟩,危机纹样陶片,danger_pottery_sherd,危機陶罐碎片 (危機陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃板 [柱],blue_stained_glass_pane_post,藍色染色玻璃片 (藍色玻璃片) [柱],,,,👤🟩🌊,深色橡木船,dark_oak_boat,黑橡木船
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃板 [侧面],blue_stained_glass_pane_side,藍色染色玻璃片 (藍色玻璃片) [側面],,,,👤🟩🌊,深色橡木运输船,dark_oak_chest_boat,儲物箱黑橡木船
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色染色玻璃板 [side_alt],blue_stained_glass_pane_side_alt,藍色染色玻璃片 (藍色玻璃片) [side_alt],,,,👤🟩,深色橡木门,dark_oak_door,黑橡木門
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色陶瓦,blue_terracotta,藍色陶瓦 (藍色陶土),,,,👤🟩,悬挂式深色橡木告示牌,dark_oak_hanging_sign,黑橡木吊牌 (懸掛式黑橡木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蓝色羊毛,blue_wool,藍色羊毛,,,,👤🟩,深色橡木告示牌,dark_oak_sign,黑橡木指示牌 (黑橡木告示牌)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,骨块,bone_block,骨塊,,,,🟩,钻石,diamond,鑽石
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,书架,bookshelf,書櫃,,,,👤🟩,钻石斧,diamond_axe,鑽石斧頭 (鑽石斧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,脑纹珊瑚,brain_coral,腦珊瑚,,,,👤🟩,钻石靴子,diamond_boots,鑽石靴 (鑽石靴子)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,脑纹珊瑚块,brain_coral_block,腦珊瑚方塊,,,,👤🟩,钻石胸甲,diamond_chestplate,鑽石胸甲
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,脑纹珊瑚扇,brain_coral_fan,扇狀腦珊瑚,,,,👤🟩,钻石头盔,diamond_helmet,鑽石頭盔
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,墙上的脑纹珊瑚扇,brain_coral_wall_fan,牆上嘅扇狀腦珊瑚 (牆上的扇狀腦珊瑚),,,,👤🟩,钻石锄,diamond_hoe,鑽石鋤頭 (鑽石鋤)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台,brewing_stand,釀造台,,,,👤🟩,钻石马铠,diamond_horse_armor,鑽石馬甲 (鑽石製馬鎧)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [bottle0],brewing_stand_bottle0,釀造台 [bottle0],,,,👤🟩,钻石护腿,diamond_leggings,鑽石護腳 (鑽石護腿)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [bottle1],brewing_stand_bottle1,釀造台 [bottle1],,,,👤🟩,钻石镐,diamond_pickaxe,鑽石鎬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [bottle2],brewing_stand_bottle2,釀造台 [bottle2],,,,👤🟩,钻石锹,diamond_shovel,鑽石鏟
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [empty0],brewing_stand_empty0,釀造台 [empty0],,,,👤🟩,钻石剑,diamond_sword,鑽石劍
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [empty1],brewing_stand_empty1,釀造台 [empty1],,,,🟩,唱片残片,disc_fragment_5,唱片殘片 (唱片碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,酿造台 [empty2],brewing_stand_empty2,釀造台 [empty2],,,,🌊,海豚刷怪蛋,dolphin_spawn_egg,海豚 生成蛋 (海豚 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖块,bricks,紅磚,,,,🟩,驴刷怪蛋,donkey_spawn_egg,驢 生成蛋 (驢子 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖台阶,brick_slab,紅磚半磚,,,,🟨,龙息,dragon_breath,龍之吐息
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖台阶 [顶部],brick_slab_top,紅磚半磚 [頂部],,,,🌊,干海带,dried_kelp,乾海帶 (海帶乾)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖楼梯,brick_stairs,紅磚樓梯 (紅磚階梯),,,,🌊,溺尸刷怪蛋,drowned_spawn_egg,沉屍 生成蛋 (沉屍 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖楼梯 [内角],brick_stairs_inner,紅磚樓梯 (紅磚階梯) [內角],,,,🟩,锻造模板,dune_armor_trim_smithing_template,鍛造模板
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖楼梯 [外角],brick_stairs_outer,紅磚樓梯 (紅磚階梯) [外角],,,,🟩,回响碎片,echo_shard,迴響碎片 (回聲碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖 [墙上物品栏],brick_wall_inventory,紅磚頭 [牆上物品欄],,,,🟩,鸡蛋,egg,雞蛋
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖 [墙上柱],brick_wall_post,紅磚頭 [牆上柱],,,,🌊,远古守卫者刷怪蛋,elder_guardian_spawn_egg,遠古深海守衞 生成蛋 (遠古深海守衛 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖 [墙上侧面],brick_wall_side,紅磚頭 [牆上側面],,,,🟨,鞘翅,elytra,鞘翅
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砖墙 [side_tall],brick_wall_side_tall,紅磚牆 [side_tall],,,,#,鞘翅 [损坏],elytra_broken,鞘翅 [損壞]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上棕色蜡烛的蛋糕,brown_candle_cake,插咗啡色蠟燭嘅蛋糕 (插上棕色蠟燭的蛋糕),,,,🟩,绿宝石,emerald,綠寶石
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上棕色蜡烛的蛋糕 [点亮],brown_candle_cake_lit,插咗啡色蠟燭嘅蛋糕 (插上棕色蠟燭的蛋糕) [點亮],,,,👤,附魔书,enchanted_book,附魔書
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [four_candles],brown_candle_four_candles,啡色蠟燭 (棕色蠟燭) [four_candles],,,,🟨,末影人刷怪蛋,enderman_spawn_egg,終界使者 生成蛋 (終界使者 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [点亮],brown_candle_four_candles_lit,啡色蠟燭 (棕色蠟燭) [點亮],,,,🟨,末影螨刷怪蛋,endermite_spawn_egg,終界蟎 生成蛋 (終界蟎 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [one_candle],brown_candle_one_candle,啡色蠟燭 (棕色蠟燭) [one_candle],,,,🟨,末影龙刷怪蛋,ender_dragon_spawn_egg,終界龍 生成蛋 (終界龍 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [点亮],brown_candle_one_candle_lit,啡色蠟燭 (棕色蠟燭) [點亮],,,,👤🟨,末影之眼,ender_eye,終界之眼
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [three_candles],brown_candle_three_candles,啡色蠟燭 (棕色蠟燭) [three_candles],,,,🟨,末影珍珠,ender_pearl,終界珍珠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [点亮],brown_candle_three_candles_lit,啡色蠟燭 (棕色蠟燭) [點亮],,,,👤🟨,末地水晶,end_crystal,終界水晶
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [two_candles],brown_candle_two_candles,啡色蠟燭 (棕色蠟燭) [two_candles],,,,🟩,唤魔者刷怪蛋,evoker_spawn_egg,喚魔者 生成蛋 (喚魔者 生怪蛋)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,棕色蜡烛 [点亮],brown_candle_two_candles_lit,啡色蠟燭 (棕色蠟燭) [點亮],,,,👤🟩,附魔之瓶,experience_bottle,附魔之瓶 (經驗瓶)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色地毯,brown_carpet,啡色地氈 (棕色地毯),,,,🟩,探险纹样陶片,explorer_pottery_sherd,探險陶罐碎片 (探險陶器碎片)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色混凝土,brown_concrete,啡色混凝土 (棕色混凝土),,,,🟩,斑驳的铜锁链,exposed_copper_chain,斑駁的銅鎖鏈
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色混凝土粉末,brown_concrete_powder,啡色混凝土粉末 (棕色混凝土粉末),,,,👤🟩,斑驳的铜门,exposed_copper_door,斑駁嘅銅門 (斑駁的銅門)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色带釉陶瓦,brown_glazed_terracotta,啡色釉陶 (棕色釉陶),,,,👤🟩💡,斑驳的铜灯笼,exposed_copper_lantern,斑駁的銅燈籠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,棕色蘑菇,brown_mushroom,啡色蘑菇 (棕色蘑菇),,,,🟨,锻造模板,eye_armor_trim_smithing_template,鍛造模板
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色蘑菇方块,brown_mushroom_block,啡色蘑菇方塊 (棕色蘑菇方塊),,,,🟩,羽毛,feather,羽毛
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,棕色蘑菇方块 [物品栏],brown_mushroom_block_inventory,啡色蘑菇方塊 (棕色蘑菇方塊) [物品欄],,,,🟩,发酵蛛眼,fermented_spider_eye,發酵蜘蛛眼
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,棕色潜影盒,brown_shulker_box,啡色界伏盒 (棕色界伏盒),,,,👤,砖纹旗帜图案,field_masoned_banner_pattern,磚紋旗幟圖案
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色染色玻璃,brown_stained_glass,啡色染色玻璃 (棕色玻璃),,,,👤🟩,地图,filled_map,地圖
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,棕色染色玻璃板 [noside],brown_stained_glass_pane_noside,啡色染色玻璃片 (棕色玻璃片) [noside],,,,#,地图 [带标记],filled_map_markings,地圖 [帶標記]
